Ground Truth Labels Predictions
[31, 31, 40, 32, 47, 42, 77, 26] [31, 32, 52, 32, 47, 42, 77, 26]
[11, 32, 122, 38, 8, 26, 35, 42] [16, 32, 26, 40, 8, 26, 36, 42]
[1, 32, 42, 29, 46, 47, 6, 48] [2, 48, 42, 32, 46, 47, 6, 48]
[1, 13, 40, 8, 42, 77, 38, 25] [15, 8, 40, 8, 42, 77, 38, 25]
[1, 45, 25, 51, 128, 29, 20, 10] [1, 45, 48, 8, 128, 32, 20, 10]
[19, 53, 65, 73, 32, 13, 25, 45] [19, 53, 13, 8, 32, 8, 37, 45]
[9, 12, 47, 6, 6, 46, 16, 26] [129, 12, 47, 6, 7, 46, 16, 26]
[8, 45, 32, 8, 51, 47, 25, 4] [8, 45, 82, 8, 51, 47, 25, 5]
[30, 46, 122, 20, 45, 151, 46, 47] [79, 46, 122, 20, 45, 73, 46, 47]
[16, 47, 75, 77, 127, 51, 16, 45] [16, 47, 75, 77, 127, 51, 56, 45]
[60, 108, 32, 8, 56, 53, 15, 20] [18, 35, 32, 13, 16, 53, 15, 20]
[46, 47, 30, 12, 12, 32, 47, 12] [46, 47, 77, 12, 12, 36, 47, 12]
[6, 48, 122, 25, 15, 20, 57, 42] [6, 48, 24, 25, 15, 20, 61, 42]
[11, 42, 37, 32, 30, 51, 24, 42] [8, 42, 1, 32, 77, 8, 25, 42]
[8, 8, 43, 48, 26, 16, 42, 5] [12, 8, 39, 48, 25, 16, 42, 6]
[122, 61, 53, 62, 33, 63, 19, 46] [122, 61, 48, 3, 32, 63, 19, 46]
[18, 46, 77, 6, 19, 51, 31, 122] [18, 46, 77, 5, 19, 51, 31, 25]
[1, 77, 122, 57, 5, 48, 47, 122] [1, 77, 25, 57, 6, 48, 47, 122]
[1, 47, 12, 46, 26, 61, 5, 19] [1, 37, 12, 46, 26, 61, 6, 19]
[46, 13, 11, 37, 6, 45, 42, 38] [46, 8, 14, 52, 16, 45, 42, 38]
[26, 53, 2, 77, 12, 12, 12, 33] [26, 48, 1, 77, 12, 12, 12, 31]
[8, 60, 26, 122, 26, 32, 25, 1] [8, 19, 26, 8, 26, 32, 25, 8]
[25, 35, 42, 18, 53, 42, 150, 29] [25, 77, 42, 61, 48, 42, 150, 31]
[43, 46, 37, 24, 42, 32, 8, 56] [43, 46, 26, 24, 42, 32, 8, 16]
[48, 47, 42, 20, 33, 32, 33, 32] [37, 47, 42, 20, 33, 32, 31, 32]
[1, 12, 46, 6, 122, 31, 32, 48] [1, 149, 46, 6, 122, 31, 32, 48]
[1, 47, 47, 52, 35, 126, 40, 46] [1, 47, 47, 52, 35, 51, 40, 46]
[32, 149, 77, 123, 32, 25, 14, 23] [32, 61, 77, 19, 32, 25, 8, 75]
[43, 13, 48, 47, 19, 57, 32, 31] [43, 89, 53, 47, 61, 19, 32, 31]
[32, 8, 1, 53, 53, 150, 25, 15] [79, 8, 1, 53, 53, 149, 24, 15]
[40, 8, 16, 8, 8, 32, 32, 29] [40, 8, 15, 1, 12, 32, 32, 29]
[61, 149, 77, 34, 0, 25, 35, 13] [18, 149, 29, 34, 1, 24, 35, 8]
[32, 74, 25, 8, 122, 26, 1, 25] [32, 25, 25, 8, 25, 55, 3, 25]
[40, 32, 47, 30, 57, 35, 29, 25] [40, 32, 47, 32, 57, 35, 32, 25]
[129, 1, 45, 149, 42, 33, 46, 26] [6, 1, 45, 149, 42, 33, 46, 26]
[24, 6, 47, 32, 36, 46, 32, 24] [25, 6, 47, 32, 33, 46, 32, 25]
[26, 20, 40, 40, 6, 1, 20, 51] [26, 20, 40, 40, 20, 1, 20, 51]
[48, 31, 32, 31, 31, 74, 30, 25] [48, 31, 32, 31, 31, 25, 77, 25]
[47, 26, 31, 75, 44, 32, 0, 35] [47, 26, 31, 75, 37, 32, 1, 35]
[1, 48, 53, 35, 10, 43, 25, 12] [1, 53, 53, 29, 16, 43, 25, 12]
[52, 42, 8, 51, 47, 43, 1, 25] [52, 42, 16, 51, 47, 43, 1, 25]
[43, 18, 57, 31, 98, 32, 20, 1] [47, 18, 19, 31, 19, 32, 20, 1]
[122, 20, 81, 6, 1, 48, 16, 60] [43, 20, 31, 6, 1, 48, 15, 16]
[42, 10, 8, 8, 13, 123, 38, 10] [127, 8, 8, 8, 8, 19, 38, 10]
[7, 40, 35, 52, 25, 48, 2, 24] [7, 40, 35, 52, 25, 48, 2, 24]
[40, 45, 37, 35, 13, 25, 1, 26] [114, 45, 40, 35, 13, 75, 1, 26]
[122, 52, 14, 52, 48, 32, 1, 30] [24, 52, 8, 43, 48, 32, 1, 79]
[26, 15, 47, 16, 18, 25, 29, 47] [26, 15, 47, 16, 57, 25, 35, 48]
[19, 56, 26, 10, 122, 46, 25, 1] [19, 8, 26, 16, 25, 46, 25, 1]
[57, 5, 20, 75, 40, 68, 10, 0] [61, 8, 5, 46, 40, 8, 10, 2]
[26, 27, 2, 52, 30, 47, 40, 43] [8, 24, 1, 52, 77, 47, 52, 43]
[53, 1, 128, 54, 32, 8, 122, 123] [53, 1, 128, 46, 32, 12, 24, 19]
[53, 10, 123, 42, 2, 54, 29, 48] [53, 8, 7, 42, 1, 46, 16, 48]
[26, 1, 42, 47, 28, 23, 32, 1] [26, 1, 42, 47, 26, 48, 32, 1]
[6, 1, 8, 53, 26, 12, 29, 32] [6, 8, 8, 53, 53, 12, 31, 32]
[25, 5, 77, 32, 76, 46, 57, 46] [25, 5, 77, 32, 24, 46, 57, 40]
[35, 43, 43, 53, 24, 46, 35, 111] [35, 47, 38, 53, 24, 46, 32, 38]
[30, 25, 50, 28, 29, 3, 26, 2] [77, 26, 50, 26, 32, 3, 26, 1]
[48, 75, 50, 48, 1, 6, 7, 45] [47, 75, 121, 48, 129, 6, 7, 45]
[16, 47, 31, 32, 80, 29, 47, 42] [16, 47, 31, 32, 80, 47, 47, 42]
[14, 12, 25, 35, 77, 6, 18, 25] [15, 12, 25, 35, 77, 6, 18, 25]
[4, 53, 1, 110, 122, 16, 1, 15] [6, 53, 16, 48, 55, 16, 1, 15]
[52, 45, 25, 48, 36, 19, 31, 53] [47, 45, 25, 48, 32, 18, 32, 48]
[26, 6, 6, 2, 3, 57, 6, 35] [26, 6, 6, 2, 3, 57, 7, 29]
[15, 47, 149, 13, 75, 10, 20, 33] [11, 47, 149, 8, 75, 8, 20, 33]
[48, 16, 24, 24, 6, 10, 1, 32] [8, 16, 24, 25, 20, 8, 1, 32]
[56, 48, 8, 35, 11, 6, 40, 122] [56, 48, 8, 35, 17, 6, 114, 25]
[12, 15, 25, 19, 47, 28, 15, 35] [12, 1, 25, 18, 47, 26, 15, 35]
[37, 122, 63, 11, 42, 77, 37, 43] [37, 25, 1, 16, 42, 77, 1, 43]
[25, 12, 16, 8, 9, 36, 51, 129] [25, 12, 16, 8, 129, 32, 51, 8]
[24, 35, 16, 122, 26, 28, 57, 5] [24, 35, 16, 24, 26, 26, 19, 6]
[25, 20, 31, 67, 31, 26, 8, 54] [25, 20, 31, 46, 31, 8, 8, 46]
[32, 28, 150, 43, 5, 26, 60, 57] [31, 28, 149, 43, 6, 26, 8, 6]
